S.No:,Contract No:,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,'2020102901026379',SHPC,26,14,10,341,3410.00
2,'2020102901026378',API,53,56,100,227,22700.00
3,'2020102901026377',KBL,45,7,80,239,19120.00
4,'2020102901026376',NHPC,33,35,300,112,33600.00
5,'2020102901026375',GBIME,34,26,20,299,5980.00
6,'2020102901026374',NGPL,1,53,500,202,101000.00
7,'2020102901026373',HDHPC,51,32,20,140,2800.00
8,'2020102901026372',AKPL,36,58,10,261,2610.00
9,'2020102901026371',CZBIL,7,34,65,239,15535.00
10,'2020102901026370',PCBL,37,34,1084,334,362056.00
11,'2020102901026369',CZBIL,53,34,50,239,11950.00
12,'2020102901026368',HDL,42,33,30,1875,56250.00
13,'2020102901026367',HDHPC,56,45,10,141,1410.00
14,'2020102901026366',NBB,26,36,200,236,47200.00
15,'2020102903010172',CBBL,58,57,400,1138,455200.00
16,'2020102904004941',GIC,57,49,10,563,5630.00
17,'2020102903010171',NLIC,51,55,20,1414,28280.00
18,'2020102901026365',NBL,33,58,100,348,34800.00
19,'2020102901026364',PRVU,36,51,10,265,2650.00
20,'2020102901026363',GBIME,57,26,730,299,218270.00
21,'2020102901026362',GBIME,57,26,270,299,80730.00
22,'2020102901026361',UPPER,22,48,40,295,11800.00
23,'2020102901026360',HDHPC,5,45,670,141,94470.00
24,'2020102901026359',HDHPC,5,29,330,141,46530.00
25,'2020102903010170',CIT,33,44,10,3719,37190.00
26,'2020102903010169',HIDCL,58,26,10,205,2050.00
27,'2020102901026358',PRVU,33,51,10,265,2650.00
28,'2020102903010168',SHINE,53,10,634,276,174984.00
29,'2020102903010167',SHINE,53,41,200,276,55200.00
30,'2020102903010166',SHINE,53,46,166,276,45816.00
31,'2020102901026357',ADBL,55,49,200,472,94400.00
32,'2020102901026356',PCBL,47,34,61,334,20374.00
33,'2020102901026355',PCBL,47,42,150,334,50100.00
34,'2020102901026354',PCBL,47,45,89,334,29726.00
35,'2020102903010165',GBBL,52,44,100,275,27500.00
36,'2020102903010164',GBBL,52,4,58,275,15950.00
37,'2020102901026353',GHL,48,38,10,126,1260.00
38,'2020102903010163',GRDBL,28,42,10,159,1590.00
39,'2020102903010162',CBBL,52,57,50,1138,56900.00
40,'2020102903010161',CLBSL,6,42,30,693,20790.00
41,'2020102901026352',AHPC,39,38,10,233,2330.00
42,'2020102903010160',RSDC,6,46,300,551,165300.00
43,'2020102903010159',RSDC,43,46,174,551,95874.00
44,'2020102901026351',DHPL,58,22,97,121,11737.00
45,'2020102901026350',DHPL,58,34,303,121,36663.00
46,'2020102904004940',GIC,57,17,10,563,5630.00
47,'2020102904004939',GIC,57,42,10,563,5630.00
48,'2020102904004938',GIC,57,17,10,563,5630.00
49,'2020102904004937',GIC,57,17,10,563,5630.00
50,'2020102904004936',GIC,57,17,10,563,5630.00
51,'2020102904004935',GIC,57,34,10,563,5630.00
52,'2020102904004934',GIC,57,17,10,563,5630.00
53,'2020102904004933',GIC,57,58,10,563,5630.00
54,'2020102904004932',GIC,57,42,10,563,5630.00
55,'2020102904004931',GIC,57,38,10,563,5630.00
56,'2020102904004930',GIC,57,32,10,563,5630.00
57,'2020102904004929',GIC,57,37,10,563,5630.00
58,'2020102904004928',GIC,57,37,10,563,5630.00
59,'2020102904004927',GIC,57,36,10,563,5630.00
60,'2020102904004926',GIC,57,58,10,563,5630.00
61,'2020102904004925',GIC,57,21,10,563,5630.00
62,'2020102904004924',GIC,57,17,10,563,5630.00
63,'2020102904004923',GIC,57,32,10,563,5630.00
64,'2020102904004922',GIC,57,45,10,563,5630.00
65,'2020102904004921',GIC,57,44,10,563,5630.00
66,'2020102903010158',PROFL,34,57,43,141,6063.00
67,'2020102904004920',GIC,48,42,10,562,5620.00
68,'2020102904004919',GIC,48,58,10,562,5620.00
69,'2020102904004918',GIC,48,4,10,562,5620.00
70,'2020102904004917',GIC,48,45,10,562,5620.00
71,'2020102901026349',HDHPC,51,11,10,140,1400.00
72,'2020102901026348',LBL,33,56,820,281,230420.00
73,'2020102901026347',LBL,43,56,180,282,50760.00
74,'2020102901026346',NABIL,49,42,10,902,9020.00
75,'2020102901026345',EIC,35,8,500,536,268000.00
76,'2020102901026344',HDHPC,35,29,10,141,1410.00
77,'2020102903010157',MFIL,22,33,10,333,3330.00
78,'2020102903010156',DDBL,38,28,287,914,262318.00
79,'2020102903010155',DDBL,38,14,45,914,41130.00
80,'2020102903010154',DDBL,38,52,38,914,34732.00
81,'2020102903010153',DDBL,38,45,30,913,27390.00
82,'2020102903010152',EDBL,6,55,345,323,111435.00
83,'2020102903010151',EDBL,6,56,50,323,16150.00
84,'2020102903010150',EDBL,6,16,105,322,33810.00
85,'2020102901026343',GBIME,43,26,200,299,59800.00
86,'2020102901026342',NIL,38,35,10,823,8230.00
87,'2020102903010149',MDB,7,42,200,389,77800.00
88,'2020102901026341',JOSHI,38,36,50,123,6150.00
89,'2020102903010148',MNBBL,40,57,50,368,18400.00
90,'2020102903010147',MNBBL,13,57,350,368,128800.00
91,'2020102903010146',MNBBL,35,57,100,368,36800.00
92,'2020102903010145',GBBL,46,4,10,275,2750.00
93,'2020102903010144',SLBBL,54,34,30,859,25770.00
94,'2020102903010143',MERO,51,1,10,758,7580.00
95,'2020102901026340',MHNL,19,1,10,190,1900.00
96,'2020102901026339',MHNL,19,38,30,190,5700.00
